dimension,num_sources,geometry,phase_offset,alpha_0,gamma,M,T,has_commits,agent_commit_count,commit_rate,first_commit_time,final_psi,max_salience
4,4,symmetric,0,0.8,0.005,1,500.0,True,47873,95.746,7.2199999999998905,43690666.666666664,43690666.666666664
4,4,symmetric,0,1.0,0.005,1,500.0,True,48097,96.194,6.599999999999904,43690666.666666664,43690666.666666664
4,4,symmetric,0,1.2,0.005,1,500.0,True,48262,96.524,6.1399999999999135,43690666.666666664,43690666.666666664
4,4,symmetric,0,1.4,0.005,1,500.0,True,48391,96.782,5.769999999999921,43690666.666666664,43690666.666666664
4,4,symmetric,0,1.6,0.005,1,500.0,True,48495,96.99,5.469999999999928,43690666.666666664,43690666.666666664
4,4,symmetric,0,1.8,0.005,1,500.0,True,48582,97.164,5.209999999999933,43690666.666666664,43690666.666666664
4,4,symmetric,0,2.0,0.005,1,500.0,True,48654,97.308,4.999999999999938,43690666.666666664,43690666.666666664
4,4,symmetric,0,2.2,0.005,1,500.0,True,48717,97.434,4.809999999999942,43690666.666666664,43690666.666666664
4,4,symmetric,0,2.4,0.005,1,500.0,True,48772,97.544,4.649999999999945,43690666.666666664,43690666.666666664
4,4,symmetric,0,2.6,0.005,1,500.0,True,48820,97.64,4.4999999999999485,43690666.666666664,43690666.666666664
4,4,symmetric,1,0.6,0.001,1,100.0,True,7549,75.49,8.079999999999872,137.67840169270832,137.67840169270832
4,4,symmetric,1,0.8,0.001,1,100.0,True,7878,78.78,7.199999999999891,244.85123697916666,244.85123697916666
4,4,symmetric,1,1.0,0.001,1,100.0,True,8103,81.03,6.589999999999904,382.2774739583333,382.2774739583333
4,4,symmetric,1,1.2,0.001,1,100.0,True,8269,82.69,6.119999999999914,550.7136067708333,550.7136067708333
4,4,symmetric,1,1.4,0.001,1,100.0,True,8398,83.98,5.759999999999922,749.4571614583333,749.4571614583333
4,4,symmetric,1,1.6,0.001,1,100.0,True,8501,85.01,5.459999999999928,979.4049479166666,979.4049479166666
4,4,symmetric,1,1.8,0.001,1,100.0,True,8588,85.88,5.199999999999934,1238.1705729166667,1238.1705729166667
4,4,symmetric,1,2.0,0.001,1,100.0,True,8660,86.6,4.989999999999938,1529.1098958333332,1529.1098958333332
4,4,symmetric,1,2.2,0.001,1,100.0,True,8722,87.22,4.799999999999942,1851.7669270833333,1851.7669270833333
4,4,symmetric,1,2.4,0.001,1,100.0,True,8777,87.77,4.6399999999999455,2202.854427083333,2202.854427083333
4,4,symmetric,1,2.6,0.001,1,100.0,True,8826,88.26,4.489999999999949,2585.4427083333335,2585.4427083333335
4,4,symmetric,1,0.6,0.005,1,100.0,True,7548,75.48,8.109999999999872,267.06061197916665,267.06061197916665
4,4,symmetric,1,0.8,0.005,1,100.0,True,7873,78.73,7.2199999999998905,474.71015625,474.71015625
4,4,symmetric,1,1.0,0.005,1,100.0,True,8097,80.97,6.599999999999904,741.5419921875,741.5419921875
4,4,symmetric,1,1.2,0.005,1,100.0,True,8262,82.62,6.1399999999999135,1068.2424479166666,1068.2424479166666
4,4,symmetric,1,1.4,0.005,1,100.0,True,8391,83.91,5.769999999999921,1447.9018229166666,1447.9018229166666
4,4,symmetric,1,1.6,0.005,1,100.0,True,8495,84.95,5.469999999999928,1898.840625,1898.840625
4,4,symmetric,1,1.8,0.005,1,100.0,True,8582,85.82,5.209999999999933,2390.825,2390.825
4,4,symmetric,1,2.0,0.005,1,100.0,True,8654,86.54,4.999999999999938,2966.16796875,2966.16796875
4,4,symmetric,1,2.2,0.005,1,100.0,True,8717,87.17,4.809999999999942,3593.366145833333,3593.366145833333
4,4,symmetric,1,2.4,0.005,1,100.0,True,8772,87.72,4.649999999999945,4272.969791666666,4272.969791666666
4,4,symmetric,1,2.6,0.005,1,100.0,True,8820,88.2,4.4999999999999485,5012.938541666666,5012.938541666666
4,4,symmetric,1,0.6,0.001,1,200.0,True,17549,87.745,8.079999999999872,2081.4580729166664,2081.4580729166664
4,4,symmetric,1,0.8,0.001,1,200.0,True,17878,89.39,7.199999999999891,3712.6588541666665,3712.6588541666665
4,4,symmetric,1,1.0,0.001,1,200.0,True,18103,90.515,6.589999999999904,5765.409375,5765.409375
4,4,symmetric,1,1.2,0.001,1,200.0,True,18269,91.345,6.119999999999914,8325.832291666666,8325.832291666666
